Azulejo-Código,Procedência,Fábrica,Dimensão-Formato,"Material, Técnica de Fabricação e Decorativa",Endereço,Bairro,Uso-Aplicação,Altura,Largura,latitude,longitude
Azulejo-PE 1-1-1,Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Travessa Frutuoso Guimarães n 18, Belém, Pará, Brasil",Cidade Velha/Campina,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4510368,-48.5010789
Azulejo-PE 1-1-1,Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Travessa Frutuoso Guimarães n 30, Belém, Pará, Brasil",Cidade Velha/Campina,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4510368,-48.5010789
Azulejo-PE 1-1-1,Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Travessa Frutuoso Guimarães n 36, Belém, Pará, Brasil",Cidade Velha/Campina,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4510368,-48.5010789
Azulejo-PE 1-1-1,Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Travessa Gurupá n 114, Belém, Pará, Brasil",Cidade Velha/Campina,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4596774,-48.5024191
Azulejo-PE 1-1-1,Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Travessa Gurupá n 266, Belém, Pará, Brasil",Cidade Velha/Campina,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4596774,-48.5024191
Azulejo-PE 1-1-1,Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua Dr. Malcher n 15, Belém, Pará, Brasil",Cidade Velha/Campina,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.457967,-48.5041109
Azulejo-PE 1-1-1,Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua Dr. Malcher n 84, Belém, Pará, Brasil",Cidade Velha/Campina,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.457967,-48.5041109
Azulejo-PE 1-1-1,Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua Dr. Assis n 130, Belém, Pará, Brasil",Cidade Velha/Campina,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4619831,-48.5044123
Azulejo-PE 1-1-1,Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua Gaspar Viana n 151, Belém, Pará, Brasil",Cidade Velha/Campina,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4465048,-48.4949554
Azulejo-PE 1-1-1,Lisboa/Portugal,"Viúva Lamego-Constância (Consta do Catalogo de J. Lino de 1889). 
Apelido: Ferradura","13,4 x 13,4cm",Cerâmica e vidrado Estampilha,"Rua Gaspar Viana n 153, Belém, Pará, Brasil",Cidade Velha/Campina,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-1.4465048,-48.4949554
